user_id,join_date,platform,country,age,gender
4a5360fc-167e-401b-b721-057a3e6741f9,2024-04-28 00:00:00,Desktop,DK,27,M
d6ca5a94-85c2-45ca-a748-a02530a88139,2023-10-27 00:00:00,Web,NO,46,F
080fb700-ae37-4baa-a47d-323e27f854d8,2023-07-14 00:00:00,Android,PL,53,Other
b99ecd9e-1998-4e2d-bfe9-df4127101a22,2024-04-04 00:00:00,Desktop,PT,54,M
df28fdad-ea8f-42af-b471-97bbdfda42fc,2023-03-07 00:00:00,Android,PT,44,M
da95c850-843b-4d0d-b902-6f6bf6c07233,2023-06-16 00:00:00,Android,AT,25,M
bf7067f1-216c-48af-a0c6-37c150f92992,2024-06-25 00:00:00,Desktop,CA,42,M
5cf347a8-90a3-4a2d-b30a-5ce1b473eabb,2024-05-03 00:00:00,iOS,IE,38,F
a0121c11-4b1e-48da-a4b1-5609753f0536,2024-06-06 00:00:00,Android,SE,45,M
398eb354-f54a-4ce5-82b5-24f46bdc6769,2023-03-14 00:00:00,Android,NL,38,M
4644af1a-9307-4d65-9624-f180ee0c857e,2023-01-11 00:00:00,Android,AT,19,M
87c1ed4f-cf8c-4741-a1cc-ca0f8d432577,2023-01-04 00:00:00,iOS,CH,47,F
9d70ab6d-3d2f-472f-8433-9d9437da0c2e,2023-03-23 00:00:00,Android,NO,35,M
4fdd6e93-a1a1-45b3-ae92-c842ea16c506,2023-03-17 00:00:00,Android,CH,29,M
fe21447c-2f4c-439f-9579-32f21fe74fc2,2023-02-08 00:00:00,Desktop,SE,31,F
a410f05c-1e2b-45db-bb4e-ea27bf16f1c6,2023-01-16 00:00:00,iOS,DK,77,F
6245285c-bab7-4444-87dd-2eea6dadb361,2023-03-31 00:00:00,Desktop,SE,78,M
d0238f36-c049-4d1e-8bbb-f4ad6e3b914a,2023-09-19 00:00:00,iOS,PT,40,F
8a9d7ab7-ee10-4319-8fbb-c9d441970825,2023-01-24 00:00:00,iOS,NO,44,F
7195171c-9db8-4902-acf4-14aa82db79f8,2023-04-12 00:00:00,Desktop,SE,34,M
d563fcf5-6532-4cc4-8195-9d618422bd29,2023-03-25 00:00:00,Android,NO,30,F
68c48a8b-d17d-4e50-ac20-68c7857e1e9d,2023-01-03 00:00:00,iOS,NL,40,M
417bd82c-d88b-4f34-b497-597a51e68ff8,2023-12-11 00:00:00,iOS,NL,34,M
8885b48a-ad9e-41ad-a845-0f41135a160b,2023-09-04 00:00:00,iOS,NO,30,M
58a6642f-66cc-4749-afb5-851923efe54f,2024-05-19 00:00:00,Web,CH,35,M
239f0503-32e0-46ad-a821-e09dda13d121,2023-03-30 00:00:00,Android,US,38,F
51661528-8230-475f-9759-9a3e98c19777,2024-06-09 00:00:00,iOS,US,36,F
44b192bb-2c59-4271-90ae-cfe570fc94c5,2023-03-16 00:00:00,Android,FI,55,F
f780e39b-7f6c-4c15-87b6-9b0e986b6efa,2023-09-15 00:00:00,Desktop,CA,57,Other
2d37dc70-d8b6-4e99-b56d-fd86a7cb86d1,2024-05-13 00:00:00,Android,CH,18,M
225d4688-46dd-4e8b-b35e-2a3f627d966a,2023-02-02 00:00:00,Android,GB,44,M
68f479ac-b9be-47b9-bbfc-c38495994d30,2023-03-17 00:00:00,Android,GB,23,M
16a9c4cc-66ce-45e3-af4c-68a7ced8acbc,2024-05-21 00:00:00,Desktop,NL,54,M
c81d22c7-5e8f-4aa0-b1df-1f71cec9be60,2024-03-13 00:00:00,Android,BE,75,F
e8bf50c6-2f30-4de6-a6a5-813ba0711d28,2024-06-24 00:00:00,Android,US,18,F
f0b374fa-5d22-4cc3-a92a-9811d2e1c548,2023-02-04 00:00:00,Android,DE,20,M
0b1569a8-7cf8-40f6-83c7-b48489e10b22,2023-01-07 00:00:00,Desktop,PL,56,F
6719db32-b04d-46e5-9343-4f4bd9d02a15,2024-04-30 00:00:00,iOS,BE,51,M
cf15ca16-ee6d-458c-8c25-963c82614dba,2023-02-25 00:00:00,iOS,DE,31,M
a60e40c7-75b9-4dcf-8d45-a7056c6b261a,2024-02-21 00:00:00,Android,GB,30,M
2a509a7c-f74d-4872-a056-e91c3df45918,2024-05-01 00:00:00,Android,NO,59,M
1f660f79-0b06-4dd8-bbef-978dae2ce202,2024-05-25 00:00:00,Desktop,CA,23,M
864003bc-86fa-4012-8bcf-a11f8a74ad5f,2023-04-17 00:00:00,iOS,NO,43,M
d5b1d666-c798-46a2-9bfa-c1f1c64a159d,2023-03-17 00:00:00,Android,MX,76,F
058b8072-c8d2-4e51-a457-7821b11b0000,2024-03-24 00:00:00,Android,CA,26,M
34225374-e6e8-4ea6-8341-222f7ef7d607,2023-02-23 00:00:00,Android,IE,51,F
2ffedda1-5490-4321-85ea-122ee89292b8,2024-05-17 00:00:00,iOS,DE,67,M
aeaa8b61-5980-4fcd-a902-ad03f7291451,2023-05-05 00:00:00,Android,ES,60,F
fb4bed22-8517-4952-8ca2-6fc8c2ac0753,2023-02-21 00:00:00,Android,DK,78,Other
2cfe0224-8807-4d5b-9965-da0a3a7cbdc4,2024-05-23 00:00:00,Android,ES,35,F
91230f01-0002-47d0-958c-96e98b1fbb70,2024-06-30 00:00:00,iOS,BE,57,F
b15a0854-7bc8-48aa-bdb0-9877880b0299,2023-03-24 00:00:00,Android,MX,68,F
fda7fef3-835f-415a-bf18-bc66e59b55f8,2023-08-07 00:00:00,Android,DK,39,F
237433f9-5282-443c-abbc-e41434ac27b4,2023-03-25 00:00:00,iOS,ES,47,Other
c9388222-70a1-46ba-a1a2-64d2578d9998,2024-01-11 00:00:00,iOS,MX,45,M
c76e88c7-eff1-4e1c-b75b-55f06364af13,2024-01-28 00:00:00,Android,FR,45,F
32195fb4-6add-4302-9467-bcd4c8c5837a,2023-06-24 00:00:00,Desktop,CA,36,F
f3f3674b-8960-4c3f-b8ec-5c26f92cd331,2023-02-09 00:00:00,iOS,IT,30,F
459defa0-9c98-4328-85e2-d063d42f4465,2024-06-17 00:00:00,Android,IT,33,F
fbaa4f1e-45ea-4497-8df2-bdd44fda456a,2023-12-17 00:00:00,iOS,BE,44,F
8c8b306d-5ab2-41a7-8cb5-999f2c63acc3,2023-05-07 00:00:00,Android,BE,32,F
9d31888b-81c7-4d53-b133-25d7c820a2ca,2023-03-10 00:00:00,iOS,ES,57,F
2227a2e4-e7c3-4077-a02a-71448047c4b3,2024-04-28 00:00:00,Android,FI,35,F
696f1674-eac7-45d0-9ce1-8252b7e72f96,2024-06-30 00:00:00,iOS,AT,38,M
1f466664-ef67-4208-ab77-b91923d9d5d4,2024-04-27 00:00:00,Android,ES,42,F
738a8dce-9813-4234-94f9-db65d3390f9b,2024-01-06 00:00:00,Web,ES,71,F
fbdd07da-72bb-4854-92a9-e49e02727fde,2024-01-27 00:00:00,iOS,IT,28,M
cb2ea155-d027-4e08-a9cb-d6f45a33c10d,2023-02-10 00:00:00,Web,DE,60,F
0e9d2f4f-8a3a-4f80-a2b3-809c2b28775b,2024-06-19 00:00:00,Android,GB,27,F
1e8a5461-7a8e-4eea-aa6e-3f52ba2efb0b,2024-05-03 00:00:00,Android,FI,27,F
22f3ea5e-f5d6-4398-870c-55f6be2cc084,2024-01-11 00:00:00,iOS,DK,72,F
4ae59103-dce6-4e6b-a443-0548d47844d7,2023-02-12 00:00:00,Android,MX,31,F
14952407-2d52-448b-86db-1ee39d8c41a4,2023-04-15 00:00:00,Desktop,PL,39,F
bb7caff7-690d-4fbf-bbaf-cd67fba05ff1,2023-12-26 00:00:00,iOS,SE,30,F
38dd79fe-75b7-4e1e-aa8a-1fbc9990518c,2024-06-29 00:00:00,Android,FI,31,M
faf3d174-3018-4bb7-834c-a0e1ba9d3c59,2024-05-22 00:00:00,iOS,PT,34,M
08bc1549-62fb-44d2-9bf5-5d74adabb5e1,2023-02-01 00:00:00,Android,IE,53,F
01fbffc8-bb8e-4efc-a66f-cb62bdfd1a36,2023-03-09 00:00:00,Android,AT,19,M
9845a0c7-c307-465e-8f2e-f5d64e5b3f3c,2023-09-17 00:00:00,Desktop,IT,33,M
fe409928-4200-4e4d-8bd7-9573b552c6ac,2023-02-05 00:00:00,Desktop,DE,32,M
c5470e67-e7e3-438d-87b1-d622dfa5b809,2024-04-17 00:00:00,Desktop,CH,44,M
58f329c7-9488-4e3e-a4e5-fa22fe514b11,2024-04-30 00:00:00,iOS,BE,28,M
a0779b95-0085-4663-8161-b7bb75c7069b,2024-05-04 00:00:00,Android,NL,35,M
6e640315-f870-447a-a129-71d9a91707bf,2024-05-17 00:00:00,iOS,FI,38,F
